market_id,event_id,event_start_time_utc,home_team_name,away_team_name,snapshots_total,snapshots_pre_match,snapshots_in_match,snapshots_end_window,first_snapshot_at,last_snapshot_at,last_pre_match_snapshot_at,last_pre_match_gap_min,final_snapshot_at,final_snapshot_t_from_kickoff_min,has_pre_match,has_end_window,has_closed_status,coverage_flag
1.253464324,35214084,2026-02-07T17:15:00+00:00,Charleroi,Cercle Brugge,5,1,4,0,2026-02-07 17:06:29.462570+00:00,2026-02-07 18:06:31.252319+00:00,2026-02-07 17:06:29.462570+00:00,8.508957166666667,2026-02-07 18:06:31.252319+00:00,51.520871983333336,True,False,False,FAIL
1.253465477,35214183,2026-02-07T15:30:00+00:00,Club Football Estrela,Santa Clara,2,0,2,0,2026-02-07 16:15:15.221764+00:00,2026-02-07 16:21:28.250137+00:00,,,2026-02-07 16:21:28.250137+00:00,51.47083561666667,False,False,False,FAIL
1.253465585,35214195,2026-02-06T16:45:00+00:00,Kisvarda,Kazincbarcika,45,0,45,0,2026-02-06 17:00:11.852781+00:00,2026-02-06 17:44:27.700310+00:00,,,2026-02-06 17:44:27.700310+00:00,59.461671833333334,False,False,False,FAIL
1.253465783,35214196,2026-02-07T19:45:00+00:00,Gent,Oud-Heverlee Leuven,3,0,3,0,2026-02-07 20:06:34.601744+00:00,2026-02-07 20:36:35.480904+00:00,,,2026-02-07 20:36:35.480904+00:00,51.5913484,False,False,False,FAIL
1.253467889,35214180,2026-02-07T12:00:00+00:00,Paderborn,Nurnberg,1,0,1,0,2026-02-07 12:45:09.160078+00:00,2026-02-07 12:45:09.160078+00:00,,,2026-02-07 12:45:09.160078+00:00,45.15266796666666,False,False,False,FAIL
1.253467998,35214179,2026-02-07T12:00:00+00:00,Schalke 04,Dynamo Dresden,2,0,2,0,2026-02-07 12:30:08.730004+00:00,2026-02-07 12:45:09.160078+00:00,,,2026-02-07 12:45:09.160078+00:00,45.15266796666666,False,False,False,FAIL
1.253468107,35214178,2026-02-07T19:30:00+00:00,SV Darmstadt,Kaiserslautern,6,2,4,0,2026-02-07 19:06:33.026392+00:00,2026-02-07 20:21:35.022027+00:00,2026-02-07 19:21:33.411081+00:00,8.44314865,2026-02-07 20:21:35.022027+00:00,51.58370045,True,False,False,FAIL
1.253469855,35214207,2026-02-07T20:30:00+00:00,Arouca,Guimaraes,3,0,3,0,2026-02-07 20:51:35.864748+00:00,2026-02-07 21:21:36.623395+00:00,,,2026-02-07 21:21:36.623395+00:00,51.61038991666667,False,False,False,FAIL
1.253472427,35214578,2026-02-07T19:30:00+00:00,Grasshoppers Zurich,Young Boys,2,0,2,0,2026-02-07 20:06:34.601744+00:00,2026-02-07 20:21:35.022027+00:00,,,2026-02-07 20:21:35.022027+00:00,51.58370045,False,False,False,FAIL
1.253482363,35214572,2026-02-07T18:00:00+00:00,Estoril Praia,Tondela,2,0,2,0,2026-02-07 18:36:32.146904+00:00,2026-02-07 18:51:32.590307+00:00,,,2026-02-07 18:51:32.590307+00:00,51.543171783333335,False,False,False,FAIL
