market_id,home_selection_id,away_selection_id,draw_selection_id
1.253201981,10774,55271,58805
1.253202126,44793,44799,58805
1.253202301,48456,419132,58805
1.253202385,669348,44794,58805
1.253202471,1328613,67164,58805
1.253204525,8750569,14170968,58805
1.253207211,24931403,48451,58805
1.253208240,5687741,328956,58805
1.253208330,328950,328955,58805
1.253211554,230914,328204,58805
1.253211874,328926,4468457,58805
1.253212062,328952,328949,58805
1.253212154,328954,10002706,58805
1.253212244,30582862,230909,58805
1.253212345,10647533,2126382,58805
1.253212435,1300930,16417407,58805
1.253212525,16093929,1234639,58805
1.253212615,1210411,10758,58805
1.253212885,55243,50334,58805
1.253214818,58943,48461,58805
1.253215577,44521,44785,58805
1.253215806,44520,6555433,58805
1.253216111,44783,5340398,58805
1.253216372,64374,498560,58805
1.253216493,44526,44519,58805
1.253216614,5774350,208026,58805
1.253216856,3237590,44784,58805
1.253216977,84649,44787,58805
1.253306571,676464,60298,58805
1.253340837,3862627,1205126,58805
1.253340942,47625959,1205121,58805
1.253341047,6480414,8586946,58805
1.253341152,571273,1205125,58805
1.253381967,36860494,198127,58805
1.253385090,198136,71387076,58805
1.253386101,18466913,5789820,58805
1.253386238,2794560,1222679,58805
1.253389464,19641049,194516,58805
1.253389573,5174666,220949,58805
1.253389681,198558,453739,58805
1.253389790,194515,2451815,58805
1.253389900,194506,5178272,58805
1.253390010,1496989,194508,58805
1.253390118,5971606,5181445,58805
1.253390226,10305879,8015153,58805
1.253390357,12545982,194503,58805
1.253390486,192085,17304,58805
1.253390624,9229725,897267,58805
1.253390732,5408226,1213581,58805
1.253390840,194509,5994579,58805
1.253390948,194513,194518,58805
1.253391272,10891028,5333044,58805
1.253399183,219457,10778457,58805
1.253402085,310510,6824949,58805
1.253402355,19932524,18201074,58805
1.253402972,496950,4364244,58805
1.253403142,46945,544529,58805
1.253403940,8947595,10573041,58805
1.253415445,1557297,13144766,58805
1.253415535,501219,201327,58805
1.253419588,66051083,5327845,58805
1.253420693,5221477,65210173,58805
1.253429926,7394884,674748,58805
1.253432138,311029,505984,58805
1.253432667,52458346,729809,58805
1.253432757,729806,328049,58805
1.253432937,52495022,13133,58805
1.253433280,3235019,67143,58805
1.253433388,64375,516219,58805
1.253437717,269791,77585,58805
1.253440044,78864,1096,58805
1.253440787,5727549,4893599,58805
1.253440877,924268,44504,58805
1.253441048,56343,1141,58805
1.253441183,48756,48351,58805
1.253441318,48224,25422,58805
1.253442175,1222691,2608900,58805
1.253442379,47999,4236580,58805
1.253442746,55190,48317,58805
1.253442891,4057235,6692727,58805
1.253443738,70468,4864974,58805
1.253447338,48349,62684,58805
1.253447524,46725,170923,58805
1.253447558,10472882,113188,58805
1.253448077,5170882,4692599,58805
1.253448245,78984,64964,58805
1.253448599,60307,60294,58805
1.253448689,10605621,5671996,58805
1.253449066,924269,20830801,58805
1.253449257,2486928,1533911,58805
1.253449608,3396710,1282856,58805
1.253449914,148733,148737,58805
1.253450178,18559,893582,58805
1.253450289,1703,69720,58805
1.253450397,63604,56036,58805
1.253450745,48759,48461,58805
1.253450853,148734,148735,58805
1.253450961,223467,48444,58805
1.253451072,69716,66243,58805
1.253451180,62623,48001,58805
1.253451504,486328,62647,58805
1.253451612,18563,69746,58805
1.253451720,18565,79343,58805
1.253451828,47997,69717,58805
1.253451936,18570,69819,58805
1.253452260,55213,1165,58805
1.253452511,256198,256400,58805
1.253452634,9124225,1209584,58805
1.253453015,113124,113125,58805
1.253453423,266068,47991,58805
1.253454096,48325,48324,58805
1.253454204,256373,28592,58805
1.253454400,47998,48350,58805
1.253455177,58943,56301,58805
1.253455843,48043,256171,58805
1.253455959,48470,74303,58805
1.253456067,62683,47992,58805
1.253456209,56295,58344,58805
1.253456317,70385,69745,58805
1.253456381,6563315,7611327,58805
1.253457277,49584,49205,58805
1.253457385,2662218,103122,58805
1.253457493,5034,49204,58805
