timestamp,marketId,selectionId,side,price,oldSize,newSize,changePercent
1770136905267,1.253498396,58805,BACK,8.00,4.37,14.54,232.72
1770136905267,1.253498396,58805,BACK,8.20,2.95,6.98,136.61
1770136905267,1.253498396,58805,BACK,8.40,19.99,0.95,95.25
1770136905267,1.253498396,58805,LAY,8.80,9.44,83.47,784.22
1770136905267,1.253498396,58805,LAY,11.00,34.24,16.00,53.27
1770136905267,1.253498396,58805,LAY,10.50,33.67,18.00,46.54
1770136905267,1.253498396,58805,LAY,9.60,34.71,14.00,59.67
1770136905267,1.253498396,7598561,BACK,1.15,1281.11,1824.92,42.45
1770136905267,1.253498396,7598561,LAY,1.17,802.96,29.14,96.37
1770136905267,1.253498396,7598561,LAY,1.22,17.49,8.53,51.23
1770136905268,1.253402520,16398677,BACK,3.20,113.83,178.02,56.39
1770136905268,1.253402520,40846946,LAY,3.20,7.22,27.83,285.46
1770136905268,1.253402520,58805,BACK,2.64,254.26,67.16,73.59
1770136905268,1.253535799,37188078,LAY,1.02,612.49,24.49,96.00
1770136905269,1.253492664,15979003,BACK,2.48,159.01,35.00,77.99
1770136905269,1.253492664,65779,BACK,2.92,111.69,21.00,81.20
1770136905269,1.253492664,58805,LAY,3.65,26.00,96.10,269.62
1770136905269,1.253492664,58805,LAY,3.70,116.05,24.00,79.32
1770136905269,1.253530940,58805,BACK,6.80,18.46,9.53,48.37
1770137085285,1.253450010,166903,BACK,1.56,115.30,17.68,84.67
1770137085285,1.253450010,166903,LAY,1.67,354.24,42.38,88.04
1770137085285,1.253450010,197965,LAY,6.80,37.66,148.73,294.93
1770137085285,1.253535709,58805,BACK,3.45,113.43,287.94,153.85
1770137085285,1.253535709,10458115,LAY,7.80,65.58,4.37,93.34
1770137085285,1.253535709,10458115,LAY,8.00,2.18,28.53,1208.72
1770137085285,1.253535709,10542714,BACK,1.66,346.86,111.80,67.77
1770137085286,1.253535709,10542714,LAY,1.73,19.16,195.61,920.93
1770137085286,1.253535619,20830668,BACK,1.49,9.79,18.00,83.86
1770137085286,1.253535619,20830668,LAY,1.60,2.00,6.00,200.00
1770137085286,1.253412796,55868423,LAY,5.90,68.97,24.00,65.20
1770137085286,1.253412796,8306133,BACK,2.48,63.00,6.00,90.48
1770137085286,1.253412796,8306133,BACK,2.42,120.70,60.35,50.00
1770137085286,1.253388278,21868583,BACK,3.30,5.00,181.22,3524.40
1770137085286,1.253388278,21868583,LAY,3.80,188.02,40.38,78.52
1770137085286,1.253388278,58805,LAY,2.58,34.67,246.25,610.27
1770137085286,1.253388278,5112599,BACK,2.94,72.39,131.91,82.22
1770137085286,1.253388278,5112599,LAY,3.45,245.50,136.63,44.35
